Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-01-02 00:00:00-05:00,54.995694906388174,54.995694906388174,54.307161775091814,54.455326080322266,14460700,0.0,0.0,0.0
2020-01-03 00:00:00-05:00,54.25487123011999,54.60349823860852,54.11542109167528,54.3681755065918,26388900,0.0,0.0,0.0
2020-01-06 00:00:00-05:00,54.28972636735495,54.55119492171441,54.1938537883141,54.481468200683594,22541700,0.0,0.0,0.0
2020-01-07 00:00:00-05:00,54.31587619071385,54.368171235304786,54.01954425420517,54.0631217956543,15607600,0.0,0.0,0.0
2020-01-08 00:00:00-05:00,54.106709447718835,54.49019651522129,54.00211934541967,54.263587951660156,11451400,0.0,0.0,0.0
2020-01-09 00:00:00-05:00,54.42917700550488,54.655782201517354,54.29844106469759,54.64706802368164,6854500,0.0,0.0,0.0
2020-01-10 00:00:00-05:00,54.699364404870266,54.777805311093324,54.54248591717751,54.61220932006836,7410800,0.0,0.0,0.0
2020-01-13 00:00:00-05:00,54.62963780623054,54.978264774550766,54.603491947270136,54.969547271728516,9625700,0.0,0.0,0.0
2020-01-14 00:00:00-05:00,54.899829164825164,55.01313011441035,54.830102434538745,54.98698425292969,7512300,0.0,0.0,0.0
2020-01-15 00:00:00-05:00,54.94339131090753,55.49247419664103,54.91724213200172,55.379173278808594,12454300,0.0,0.0,0.0
2020-01-16 00:00:00-05:00,55.44891428195736,55.57093273977679,55.38790505304764,55.5273551940918,8048600,0.0,0.0,0.0
2020-01-17 00:00:00-05:00,55.51863939422973,55.74524462002911,55.448912663366215,55.623226165771484,14902700,0.0,0.0,0.0
2020-01-21 00:00:00-05:00,55.54478582608885,55.84111778579357,55.35304063899945,55.814971923828125,11300300,0.0,0.0,0.0
2020-01-22 00:00:00-05:00,55.832389909493465,55.98927170164792,55.81496155459003,55.85853576660156,8046500,0.0,0.0,0.0
2020-01-23 00:00:00-05:00,55.67551509231707,55.95441201084546,55.466338247479335,55.80624771118164,14563100,0.0,0.0,0.0
2020-01-24 00:00:00-05:00,55.849831716176844,55.91955844329477,55.24845033142141,55.42276382446289,11935100,0.0,0.0,0.0
2020-01-27 00:00:00-05:00,54.95213446427705,55.50993514536483,54.91727109052049,55.24846649169922,8748400,0.0,0.0,0.0
2020-01-28 00:00:00-05:00,55.283309094176424,55.48376843082777,55.231014053190094,55.318172454833984,7899500,0.0,0.0,0.0
2020-01-29 00:00:00-05:00,55.36176159421565,55.405339141792645,55.039283752441406,55.039283752441406,8300800,0.0,0.0,0.0
2020-01-30 00:00:00-05:00,55.0654277144398,55.73653256316196,55.03056434768065,55.692955017089844,13824800,0.0,0.0,0.0
2020-01-31 00:00:00-05:00,55.71909129632164,55.96312817215501,54.90853644472873,55.0654182434082,15280000,0.0,0.0,0.0
2020-02-03 00:00:00-05:00,55.26587758066462,55.47505442048828,55.021840704831256,55.0654182434082,21797600,0.0,0.0,0.0
2020-02-04 00:00:00-05:00,55.50119701138814,55.771383054264575,55.28330600657734,55.396610260009766,14290900,0.0,0.0,0.0
