Date,Open,High,Low,Close,Volume
01-02-2024,402.84171215039225,403.0898651884032,397.2830780405233,399.61572265625,58026900
01-03-2024,396.9753619804944,398.03746422996954,394.95045504511097,395.3871765136719,47002800
01-04-2024,393.5112080717863,396.6379306426437,393.13401056500635,393.3523864746094,39432800
01-05-2024,393.5211371343862,396.6081466799403,392.4193217891686,393.81890869140625,44867900
01-08-2024,395.04971042955367,402.24614870913854,394.9008246615034,401.95831298828125,42473800
01-09-2024,398.9407533453347,403.6854382166415,398.7422187982365,402.75238037109375,39132900
01-10-2024,403.0700457909873,406.49453972667374,402.1767008639439,405.4820861816406,33962800
01-11-2024,406.7625574506335,408.16214427231046,401.2535416258896,406.3258056640625,54536200
01-12-2024,407.3680313161463,408.21175772488306,405.1346539182594,406.53424072265625,39581400
01-16-2024,405.2934546455613,408.0826922955766,403.82437779427454,406.4945068359375,43903000
01-17-2024,403.169304259661,404.5787965978987,399.943314660414,404.20159912109375,54386000
01-18-2024,407.4871201217249,410.5245108118268,406.1371821670655,409.9388732910156,59562500
01-19-2024,412.1524297930296,418.22721147612486,411.56679224301826,418.0683898925781,70268500
01-22-2024,420.2819305726181,421.5921859321853,418.0088401780519,418.6143493652344,44880600
01-23-2024,419.3091489651431,420.5697857997683,417.4629048812153,420.3514099121094,33003800
01-24-2024,424.28217295187216,426.674372055235,422.187745399915,422.6840515136719,46948000
01-25-2024,425.1953557925735,425.870355123826,420.8477397166701,423.2002258300781,44367200
01-26-2024,421.3043055826492,423.0612181922162,420.02382742062906,420.678955078125,37137000
01-29-2024,421.13556777092185,425.18544251610695,420.48044008296193,424.9869079589844,38694700
01-30-2024,423.9446791299793,424.5203808807755,421.2447727186817,422.157958984375,36739000
01-31-2024,417.7408358983897,419.74590156748536,413.71083292993256,413.8894958496094,64010600
02-01-2024,415.6960765304657,419.2595507346498,414.72330565804486,418.76324462890625,51008600
02-02-2024,420.6690447199256,427.0614698097153,419.6665269811323,425.840576171875,59582300
02-05-2024,425.9001437498146,426.4361325524383,421.86020463764606,425.28472900390625,39889200
02-06-2024,426.4361265951778,427.04163580880805,422.07857464711026,424.4310607910156,35846100
02-07-2024,427.23020904430734,429.63231353953967,425.9199537057518,428.79852294921875,37712700
02-08-2024,428.9176825049018,430.35698244363766,428.2328078928952,429.5926818847656,29889900
02-09-2024,430.734157468731,434.61527495875947,429.9400797942806,433.8211669921875,36943900
02-12-2024,433.71199546014077,435.8957545094765,431.43890494407606,432.1238098144531,33203300
02-13-2024,424.1233350750162,428.0838480172426,422.1877291888388,425.3839416503906,64491700
02-14-2024,428.07395873161715,430.4462862023667,425.7115367844957,430.01947021484375,45092700
02-15-2024,430.7142892083879,431.7664556927263,428.1433970126776,431.2999267578125,38796100
02-16-2024,431.6771300185272,431.77636700387006,426.67435609717256,427.3890380859375,53661500
02-20-2024,425.3839490471561,426.9026445116606,420.37126952037295,424.1630554199219,53999500
02-21-2024,421.4135012064581,422.5550294804839,418.5150905198182,422.4656677246094,50179700
02-22-2024,431.28007991981656,435.87587941064345,430.50584358886897,434.8336486816406,53887800
02-23-2024,436.4019538285466,437.3350117330803,432.57048522270816,433.55316162109375,39853900
02-26-2024,434.36709005149754,435.35970221784373,433.1362303665872,433.3248291015625,33043200
02-27-2024,434.43658606996166,434.7541989454928,431.81607537502174,434.3670959472656,33713200
02-28-2024,432.2131428834322,433.4440026667669,431.09148619903,432.0543212890625,32938800
02-29-2024,434.99244391595084,436.83868801936825,431.80613702709377,435.7567443847656,42495200
03-01-2024,436.65012463825656,443.2807672273285,436.59057032636423,442.31793212890625,43809200
03-04-2024,442.3179349179366,442.74478121201923,440.4915319934369,440.73968505859375,34325700
03-05-2024,437.68247146732597,437.6924072838391,430.4463192940304,432.8285827636719,57917100
03-06-2024,437.0670047581934,438.72465014427263,433.6623522322808,435.5483093261719,46234500
03-07-2024,439.15153519410916,443.4197558515967,437.603032179318,442.1591491699219,44526700
03-08-2024,442.5164568673743,445.3255664484289,435.10164228025627,435.776611328125,71954300
03-11-2024,434.2778000308379,435.41929807263506,432.2230853803296,434.15869140625,45860000
03-12-2024,436.4813656143289,440.7396500639856,433.23550439283974,440.38232421875,55300900
03-13-2024,439.3797913360505,439.39966296732706,435.8758714253983,436.9975280761719,37928700
03-14-2024,438.2383022903819,438.76438556389274,433.16606830352464,435.895751953125,52195200
03-15-2024,432.8484352505753,435.62773746019997,429.54301946300234,430.7143249511719,73038800
03-18-2024,436.06461051031516,438.3605742247722,434.5836420272337,434.82220458984375,47323800
03-19-2024,432.8045382910624,436.31309139477713,430.6973923723623,435.90557861328125,43004100
03-20-2024,437.1081943269805,441.41187484295807,435.3986426649936,441.0739440917969,43653500
03-21-2024,446.15297829894706,446.6101752233874,442.96248811801075,443.1612548828125,39345700
03-22-2024,442.64438008964424,444.77136321757473,441.7895890577687,443.6681213378906,28229300
03-25-2024,440.85531260665005,443.54887052978523,439.8514692307558,442.0579833984375,27789200
03-26-2024,443.58858520265886,444.5129582338751,440.3980953818721,440.626708984375,34142000
03-27-2024,443.7277369503236,443.8271354848446,439.2451269333431,442.12750244140625,41359200
03-28-2024,442.077841642599,442.9326326859272,440.954701840876,441.3125305175781,36839600
04-01-2024,442.2666632281864,444.8111079660464,440.32849798178324,442.2467956542969,38729000
04-02-2024,437.40637350696596,438.7481779333621,435.3688399821171,438.43011474609375,44259700
04-03-2024,436.2931853637425,441.302574431378,436.28326674244977,439.41412353515625,39949800
04-04-2024,443.61838227140885,444.2346410425793,432.4665463196345,432.6951599121094,57267700
04-05-2024,434.1264521026199,440.4776458293539,433.31142652599976,437.7940368652344,54723000
04-08-2024,438.7283554807965,439.81172988743754,436.53179013640244,437.92327880859375,28144900
04-09-2024,440.268880585883,440.54717829110353,434.78242711203205,439.5433349609375,39521600
04-10-2024,434.34508463499066,436.57146620920383,433.62945765296865,435.7067565917969,61502200
