,Open,High,Low,Close
Date,485.92,0,0,485.11
Date,484.51,0,0,489.1
Date,490.69,0,0,495.69
Date,504.01,0,0,509.13
Date,511.95,0,0,513.05
Date,512.55,0,0,511.02
Date,512.25,0,0,511.39
Date,511.32,0,0,511.17
Date,510.66,0,0,507.45
Date,507.11,0,0,500.76
Date,495.03,0,0,496.91
Date,498.47,0,0,504.49
Date,501.9,0,0,501.91
Date,501.61,0,0,500.35
Date,503.42,0,0,504.79
Date,504.22,0,0,500.92
Date,505.02,0,0,506.25
Date,507.73,0,0,504.87
Date,503.74,0,0,507.54
Date,508.16,0,0,512.43
Date,513.69,0,0,516.6
Date,515.27,0,0,518.2
Date,521.64,0,0,520.14
Date,520.19,0,0,524.18
Date,524.85,0,0,521.69
Date,520.76,0,0,517.75
Date,518.99,0,0,523.89
Date,528.28,0,0,527.1
Date,524.87,0,0,524.94
Date,528.89,0,0,533.96
Date,536.5,0,0,535.94
Date,534.14,0,0,515.52
Date,514.87,0,0,507.87
Date,512.58,0,0,520.77
Date,517.05,0,0,520.37
Date,522.09,0,0,527.21
Date,529.17,0,0,530.45
Date,528.81,0,0,525.37
Date,521.78,0,0,521.88
Date,514.84,0,0,509.18
Date,510.47,0,0,506.41
Date,509.47,0,0,514.69
Date,517.81,0,0,518.33
Date,523.76,0,0,513.37
Date,514.41,0,0,514.6
Date,514.5,0,0,510.22
Date,506.43,0,0,510.78
Date,504.81,0,0,501.16
Date,504.33,0,0,507.99
Date,515.93,0,0,510.04
Date,512.32,0,0,511.21
Date,520.96,0,0,521.28
Date,524.02,0,0,525.96
Date,530.72,0,0,534.31
Date,531.85,0,0,528.47
Date,528.84,0,0,532.05
Date,513.44,0,0,520.02
Date,521.03,0,0,519.4
Date,520.05,0,0,519.39
Date,522.27,0,0,517.65
Date,521.51,0,0,526.14
Date,517.34,0,0,523.17
Date,523.69,0,0,528.71
Date,526.07,0,0,528.31
Date,528.81,0,0,521.6
Date,522.14,0,0,524.17
Date,528.46,0,0,530.49
Date,527.2,0,0,533.19
Date,527.51,0,0,533.42
Date,535.1,0,0,537.24
Date,537.35,0,0,536.99
Date,538.57,0,0,539.52
Date,538.72,0,0,537.22
Date,536.43,0,0,524.15
Date,525.3,0,0,517.3
Date,519.1,0,0,513.19
Date,512.56,0,0,511.59
Date,513.79,0,0,495.96
Date,499.53,0,0,507.56
Date,507.41,0,0,492.96
Date,496.31,0,0,497.68
Date,494.81,0,0,500.61
Date,501.26,0,0,495.78
Date,487.47,0,0,492.09
Date,491.06,0,0,480.36
Date,472.03,0,0,471.28
Date,470.9,0,0,468.66
Date,476.21,0,0,468.31
Date,467.64,0,0,473.56
Date,478.95,0,0,482.11
Date,482.05,0,0,477.19
Date,473.83,0,0,477.9
Date,480.17,0,0,482.55
Date,478.55,0,0,485.3
Date,480.12,0,0,483.04
Date,490.66,0,0,492.73
Date,493.46,0,0,485.54
Date,484.38,0,0,483.59
Date,481.62,0,0,470.75
Date,468.94,0,0,475.94
Date,468.92,0,0,474.32
Date,472.7,0,0,482.73
Date,476.15,0,0,470.37
Date,450.66,0,0,435.19
Date,422.67,0,0,437.7
Date,423.69,0,0,401.59
Date,416.06,0,0,466.49
Date,466.0,0,0,458.62
Date,446.18,0,0,455.93
Date,454.4,0,0,447.42
Date,457.48,0,0,456.93
Date,457.99,0,0,453.14
Date,444.18,0,0,441.11
Date,444.1,0,0,438.98
Date,433.11,0,0,438.77
Date,444.48,0,0,440.87
Date,454.56,0,0,465.43
Date,467.35,0,0,472.94
Date,472.56,0,0,471.94
Date,472.41,0,0,477.77
Date,475.53,0,0,483.87
Date,475.47,0,0,473.74
Date,481.68,0,0,483.97
Date,488.83,0,0,490.16
Date,485.93,0,0,487.78
Date,481.41,0,0,482.63
Date,483.3,0,0,483.06
Date,488.29,0,0,486.8
